,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,vanilla,True,False,1,9,D~{,6.976243734359741,7,"[array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368)]","[1, 0, 0, 0, 0, 0, 1, 1, 0]",8.215132111345993,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
1,gaussian,COBYLA,vanilla,True,False,1,5,HCrfZzf,0.9471566677093506,7,"[array(-1.15166285), array(-1.15166285), array(-1.15166285), array(-1.15166285), array(-1.15166285), array(-1.15166285), array(-1.15166285)]","[1, 0, 0, 0, 1]",3.6675854367021086,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
2,gaussian,COBYLA,vanilla,True,False,3,9,D~{,34.28779220581055,19,"[array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368), array(-2.67710368)]","[0, 1, 1, 1, 1, 1, 0, 0, 1]",8.215132111345993,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
3,gaussian,COBYLA,vanilla,True,False,3,5,HCrfZzf,5.639949798583984,19,"[array(-0.78100169), array(-0.78100169), array(-0.78100169), array(-0.78100169), array(-0.78100169), array(-0.78100169), array(-0.78100169), array(-0.78100169), array(-0.78100169), array(-0.78100169), array(-0.78100169), array(-0.78100169), array(-0.78100169), array(-0.78100169), array(-0.78100169), array(-0.78100169), array(-0.78100169), array(-0.78100169), array(-0.78100169)]","[1, 1, 0, 0, 0]",3.2969242815046744,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
4,gaussian,COBYLA,vanilla,False,False,1,9,D~{,32.22755837440491,25,"[array(0.31126253), array(-0.49646152), array(-0.13533473), array(2.13378041), array(-0.29476864), array(0.61366889), array(-0.58821671), array(-0.67122396), array(-0.55975546), array(-0.81000931), array(-0.88995005), array(-0.92758035), array(-0.98223465), array(-1.10391883), array(-1.12450556), array(-1.12446369), array(-0.92880536), array(-1.11965799), array(-1.10316052), array(-1.1553932), array(-1.0648346), array(-1.17509533), array(-1.0498912), array(-1.08819015), array(-1.14362144)]","[0, 1, 0, 1, 1, 1, 0, 0, 1]",8.32579643427331,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
5,gaussian,COBYLA,vanilla,False,False,1,5,HCrfZzf,3.3034207820892334,17,"[array(-0.344429), array(0.87962658), array(0.07167774), array(1.39673893), array(0.59330314), array(0.09814835), array(-0.22426139), array(-0.26566726), array(-0.27349217), array(-0.28067707), array(-0.35916453), array(-0.39083919), array(-0.3549051), array(-0.32805689), array(-0.38280012), array(-0.33143294), array(-0.30006394)]","[0, 1, 1, 1, 0]",3.6675854367021086,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
6,gaussian,COBYLA,vanilla,False,False,3,9,D~{,87.10537433624268,47,"[array(-0.50419471), array(0.29795678), array(-0.15319217), array(-0.16681075), array(-0.11711755), array(-0.47980764), array(-0.39009374), array(0.79757886), array(-0.09083174), array(0.05321467), array(-0.44996509), array(-0.48431941), array(-0.57100601), array(-0.40233039), array(-0.53960748), array(-0.57120816), array(-0.66246005), array(-0.77246301), array(-0.78299002), array(-0.73064425), array(-0.81417715), array(-0.81497667), array(-0.81087248), array(-0.82826509), array(-0.88405183), array(-0.81943738), array(-0.84536396), array(-0.67555334), array(-0.78939036), array(-0.80883329), array(-0.74137855), array(-0.84866563), array(-0.74951972), array(-0.85917879), array(-0.84077893), array(-0.89443581), array(-0.79163827), array(-0.8508378), array(-0.83486799), array(-0.75656258), array(-0.82663494), array(-0.88952334), array(-0.83422788), array(-0.83960736), array(-0.89622215), array(-0.92144456), array(-0.8412488)]","[0, 0, 0, 1, 0, 0, 1, 1, 1]",7.776929729244643,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
7,gaussian,COBYLA,vanilla,False,False,3,5,HCrfZzf,8.740435361862183,42,"[array(0.46114536), array(0.01367284), array(-0.09415938), array(0.27675027), array(-0.2480195), array(-0.04973219), array(-0.12636451), array(0.14191655), array(-0.23948139), array(0.16334992), array(0.64823673), array(-0.32148861), array(-0.31982078), array(-0.37745399), array(-0.38352784), array(-0.23392992), array(-0.29014821), array(0.05161999), array(-0.35999714), array(-0.32688944), array(-0.37423018), array(-0.34488613), array(-0.34488484), array(-0.38004054), array(-0.37149675), array(-0.3856475), array(-0.38121619), array(-0.3811087), array(-0.36583403), array(-0.40914601), array(-0.37214883), array(-0.37476371), array(-0.40013164), array(-0.3764891), array(-0.3705085), array(-0.37153772), array(-0.39698399), array(-0.38541827), array(-0.40195652), array(-0.40407365), array(-0.35277588), array(-0.36995775)]","[0, 1, 0, 1, 0]",2.8067984579116185,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
8,gaussian,COBYLA,vanilla,True,False,1,9,D~{,9.29724931716919,7,"[array(-2.78776801), array(-2.78776801), array(-2.78776801), array(-2.78776801), array(-2.78776801), array(-2.78776801), array(-2.78776801)]","[0, 1, 0, 1, 1, 1, 0, 0, 1]",8.32579643427331,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
9,gaussian,COBYLA,vanilla,True,False,1,5,HCrfZzf,1.8875861167907715,7,"[array(-1.15166285), array(-1.15166285), array(-1.15166285), array(-1.15166285), array(-1.15166285), array(-1.15166285), array(-1.15166285)]","[0, 1, 1, 1, 0]",3.6675854367021086,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
